Malloc,VectorAdd,Memcpy,Free,VectorSize
1185252539,163151396469,923891,15524,8
283079092,172737641904,866854,15091,16
319755569,168572365433,886585,14748,32
339662351,161590433789,474478,14405,64
309940927,166441414639,476805,14728,128
286066092,161948193092,864958,14924,256
295227000,165647243646,866871,14551,512
301093575,167896145886,450319,14581,1024
322645444,165181762841,478668,15645,2048
302795003,190619040374,489182,15529,4096
288998175,190165504652,899077,17255,8192
297215141,191375560478,537120,16094,16384
267733125,211666020456,889287,15935,32768
317341850,239762090970,896523,16388,65536
341172599,239346168240,514691,16568,131072
348542875,320831942638,1047052,140671,262144
314187141,478852603741,1422551,172974,524288
319688045,504783509821,1750612,512688,1048576
