Malloc,VectorAdd,Memcpy,Free,VectorSize
2212270971,64993881318,33915,17857,8
1603072834,61491173993,33001,20089,16
1644709597,61237958902,31606,17760,32
1650377593,47634446449,34907,19604,64
1641323374,42240218900,30425,21377,128
1626183353,57995622065,32802,21167,256
1631507788,65718080775,34417,21519,512
1588687331,65867433637,34146,18005,1024
1650141875,55393466251,219384,54649,2048
1622097877,64182548138,149352,34849,4096
1596802548,69524199090,196882,69505,8192
1688078282,72860126743,76007,66315,16384
1603743761,73278637691,208779,57872,32768
1619303460,71375661402,231890,76407,65536
1643995005,56422747536,329058,57641,131072
1656686026,70213644942,576132,85306,262144
1630605497,79636234020,1096124,177498,524288
1634511491,110765150226,2071022,293440,1048576
