Malloc,VectorAdd,Memcpy,Free,VectorSize
58751318,1180412169,19756,73566,8
53305819,1171438356,21276,76727,16
46487051,1189628028,21750,74191,32
44874989,1179246966,18319,75653,64
49120217,1174812570,20811,74039,128
46185004,1167314876,18132,72739,256
40839604,1168307036,20557,71541,512
42603744,1141238509,21481,72271,1024
52588510,1163443505,24349,72263,2048
54998379,1185140149,30067,73707,4096
49869118,1172985378,37163,74894,8192
44807468,1238731358,1296576,1165398,16384
41550083,1373943028,1453704,75235,32768
45135443,1681463229,1794378,75313,65536
43795201,2272892977,2453557,74345,131072
45577213,13290567980,13839653,146745,262144
44834581,27141371744,28159598,205960,524288
41284620,52778267216,54687039,306650,1048576
